Electoral wards and divisions Code,Electoral wards and divisions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E05009388,Abingdon,5,5. Skilled trades occupations,103
E05009388,Abingdon,6,"6. Caring, leisure and other service occupations",162
E05009388,Abingdon,7,7. Sales and customer service occupations,126
E05009388,Abingdon,8,"8. Process, plant and machine operatives",50
E05009388,Abingdon,9,9. Elementary occupations,110
E05009389,Brompton & Hans Town,-8,Does not apply,3990
E05009389,Brompton & Hans Town,1,"1. Managers, directors and senior officials",1247
E05009389,Brompton & Hans Town,2,2. Professional occupations,1073
E05009389,Brompton & Hans Town,3,3. Associate professional and technical occupations,667
E05009389,Brompton & Hans Town,4,4. Administrative and secretarial occupations,187
E05009389,Brompton & Hans Town,5,5. Skilled trades occupations,67
E05009389,Brompton & Hans Town,6,"6. Caring, leisure and other service occupations",259
E05009389,Brompton & Hans Town,7,7. Sales and customer service occupations,129
E05009389,Brompton & Hans Town,8,"8. Process, plant and machine operatives",63
E05009389,Brompton & Hans Town,9,9. Elementary occupations,108
E05009390,Campden,-8,Does not apply,4343
E05009390,Campden,1,"1. Managers, directors and senior officials",1418
E05009390,Campden,2,2. Professional occupations,1308
E05009390,Campden,3,3. Associate professional and technical occupations,739
E05009390,Campden,4,4. Administrative and secretarial occupations,223
E05009390,Campden,5,5. Skilled trades occupations,78
E05009390,Campden,6,"6. Caring, leisure and other service occupations",253
E05009390,Campden,7,7. Sales and customer service occupations,127
E05009390,Campden,8,"8. Process, plant and machine operatives",46
E05009390,Campden,9,9. Elementary occupations,92
E05009391,Chelsea Riverside,-8,Does not apply,4306
E05009391,Chelsea Riverside,1,"1. Managers, directors and senior officials",822
E05009391,Chelsea Riverside,2,2. Professional occupations,800
E05009391,Chelsea Riverside,3,3. Associate professional and technical occupations,593
E05009391,Chelsea Riverside,4,4. Administrative and secretarial occupations,222
E05009391,Chelsea Riverside,5,5. Skilled trades occupations,121
E05009391,Chelsea Riverside,6,"6. Caring, leisure and other service occupations",271
E05009391,Chelsea Riverside,7,7. Sales and customer service occupations,171
E05009391,Chelsea Riverside,8,"8. Process, plant and machine operatives",118
E05009391,Chelsea Riverside,9,9. Elementary occupations,210
E05009392,Colville,-8,Does not apply,4107
E05009392,Colville,1,"1. Managers, directors and senior officials",930
E05009392,Colville,2,2. Professional occupations,1155
E05009392,Colville,3,3. Associate professional and technical occupations,900
E05009392,Colville,4,4. Administrative and secretarial occupations,288
E05009392,Colville,5,5. Skilled trades occupations,181
