Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05011104,London Bridge & West Bermondsey,5,Very bad health,144
E05011105,Newington (Southwark),-8,Does not apply,0
E05011105,Newington (Southwark),1,Very good health,6867
E05011105,Newington (Southwark),2,Good health,4181
E05011105,Newington (Southwark),3,Fair health,1610
E05011105,Newington (Southwark),4,Bad health,566
E05011105,Newington (Southwark),5,Very bad health,219
E05011106,North Bermondsey,-8,Does not apply,0
E05011106,North Bermondsey,1,Very good health,8670
E05011106,North Bermondsey,2,Good health,4529
E05011106,North Bermondsey,3,Fair health,1446
E05011106,North Bermondsey,4,Bad health,479
E05011106,North Bermondsey,5,Very bad health,158
E05011107,North Walworth,-8,Does not apply,0
E05011107,North Walworth,1,Very good health,8859
E05011107,North Walworth,2,Good health,4841
E05011107,North Walworth,3,Fair health,1492
E05011107,North Walworth,4,Bad health,514
E05011107,North Walworth,5,Very bad health,138
E05011108,Nunhead & Queen's Road,-8,Does not apply,0
E05011108,Nunhead & Queen's Road,1,Very good health,8274
E05011108,Nunhead & Queen's Road,2,Good health,4670
E05011108,Nunhead & Queen's Road,3,Fair health,1739
E05011108,Nunhead & Queen's Road,4,Bad health,673
E05011108,Nunhead & Queen's Road,5,Very bad health,198
E05011109,Old Kent Road,-8,Does not apply,0
E05011109,Old Kent Road,1,Very good health,10002
E05011109,Old Kent Road,2,Good health,6036
E05011109,Old Kent Road,3,Fair health,2123
E05011109,Old Kent Road,4,Bad health,642
E05011109,Old Kent Road,5,Very bad health,235
E05011110,Peckham,-8,Does not apply,0
E05011110,Peckham,1,Very good health,7828
E05011110,Peckham,2,Good health,4591
E05011110,Peckham,3,Fair health,1701
E05011110,Peckham,4,Bad health,494
E05011110,Peckham,5,Very bad health,173
E05011111,Peckham Rye,-8,Does not apply,0
E05011111,Peckham Rye,1,Very good health,5882
E05011111,Peckham Rye,2,Good health,2946
E05011111,Peckham Rye,3,Fair health,979
E05011111,Peckham Rye,4,Bad health,277
