Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05014099,Clapham Common & Abbeville,2,Male,4823
E05014100,Clapham East,1,Female,5198
E05014100,Clapham East,2,Male,4647
E05014101,Clapham Park,1,Female,6603
E05014101,Clapham Park,2,Male,6108
E05014102,Clapham Town,1,Female,8127
E05014102,Clapham Town,2,Male,7777
E05014103,Gipsy Hill,1,Female,5473
E05014103,Gipsy Hill,2,Male,4784
E05014104,Herne Hill & Loughborough Junction,1,Female,8431
E05014104,Herne Hill & Loughborough Junction,2,Male,7725
E05014105,Kennington (Lambeth),1,Female,7378
E05014105,Kennington (Lambeth),2,Male,7225
E05014106,Knight's Hill,1,Female,8968
E05014106,Knight's Hill,2,Male,7939
E05014107,Myatt's Fields,1,Female,5625
E05014107,Myatt's Fields,2,Male,5307
E05014108,Oval,1,Female,6079
E05014108,Oval,2,Male,6362
E05014109,St Martin's (Lambeth),1,Female,5775
E05014109,St Martin's (Lambeth),2,Male,5069
E05014110,Stockwell East,1,Female,5440
E05014110,Stockwell East,2,Male,5306
E05014111,Stockwell West & Larkhall,1,Female,8310
E05014111,Stockwell West & Larkhall,2,Male,8022
E05014112,Streatham Common & Vale,1,Female,9076
E05014112,Streatham Common & Vale,2,Male,8583
E05014113,Streatham Hill East,1,Female,5120
E05014113,Streatham Hill East,2,Male,4757
E05014114,Streatham Hill West & Thornton,1,Female,5685
E05014114,Streatham Hill West & Thornton,2,Male,5206
E05014115,Streatham St Leonard's,1,Female,8122
E05014115,Streatham St Leonard's,2,Male,7692
E05014116,Streatham Wells,1,Female,5066
E05014116,Streatham Wells,2,Male,4691
E05014117,Vauxhall (Lambeth),1,Female,4733
E05014117,Vauxhall (Lambeth),2,Male,5000
E05014118,Waterloo & South Bank,1,Female,4512
E05014118,Waterloo & South Bank,2,Male,4346
E05014119,West Dulwich,1,Female,6028
E05014119,West Dulwich,2,Male,5356
E09000001,City of London,1,Female,3861
E09000001,City of London,2,Male,4722
